"Parking.space.num","Check.4.Car","Unoccupied","Occupied","Forward","Reverse","Date"
12,0,0,0,0,0,2018-08-05 10:30:00
13,1,0,1,0,1,2018-08-05 10:30:00
14,0,0,0,0,0,2018-08-05 10:30:00
15,1,0,1,1,0,2018-08-05 10:30:00
16,0,0,0,0,0,2018-08-05 10:30:00
17,0,0,0,0,0,2018-08-05 10:30:00
18,0,0,0,0,0,2018-08-05 10:30:00
19,0,0,0,0,0,2018-08-05 10:30:00
20,1,0,1,0,1,2018-08-05 10:30:00
21,0,0,0,0,0,2018-08-05 10:30:00
22,1,0,1,1,0,2018-08-05 10:30:00
23,1,0,1,0,1,2018-08-05 10:30:00
24,1,0,1,0,1,2018-08-05 10:30:00
25,1,0,1,0,1,2018-08-05 10:30:00
26,1,0,1,0,1,2018-08-05 10:30:00
27,0,0,0,0,0,2018-08-05 10:30:00
28,0,0,0,0,0,2018-08-05 10:30:00
29,0,0,0,0,0,2018-08-05 10:30:00
30,0,0,0,0,0,2018-08-05 10:30:00
31,0,0,0,0,0,2018-08-05 10:30:00
32,1,1,0,0,0,2018-08-05 10:30:00
33,0,0,0,0,0,2018-08-05 10:30:00
34,0,0,0,0,0,2018-08-05 10:30:00
35,0,0,0,0,0,2018-08-05 10:30:00
36,1,0,1,1,0,2018-08-05 10:30:00
37,0,0,0,0,0,2018-08-05 10:30:00
38,0,0,0,0,0,2018-08-05 10:30:00
39,0,0,0,0,0,2018-08-05 10:30:00
40,0,0,0,0,0,2018-08-05 10:30:00
41,1,0,1,1,0,2018-08-05 10:30:00
42,1,0,1,0,1,2018-08-05 10:30:00
43,0,0,0,0,0,2018-08-05 10:30:00
44,1,0,1,1,0,2018-08-05 10:30:00
45,1,0,1,1,0,2018-08-05 10:30:00
46,1,0,1,1,0,2018-08-05 10:30:00
47,1,0,1,0,1,2018-08-05 10:30:00
48,1,0,1,0,1,2018-08-05 10:30:00
49,0,0,0,0,0,2018-08-05 10:30:00
50,0,0,0,0,0,2018-08-05 10:30:00
51,1,0,1,1,0,2018-08-05 10:30:00
52,0,0,0,0,0,2018-08-05 10:30:00
53,0,0,0,0,0,2018-08-05 10:30:00
54,1,0,1,1,0,2018-08-05 10:30:00
55,0,0,0,0,0,2018-08-05 10:30:00
56,1,0,1,0,1,2018-08-05 10:30:00
57,0,0,0,0,0,2018-08-05 10:30:00
58,0,0,0,0,0,2018-08-05 10:30:00
59,1,0,1,1,0,2018-08-05 10:30:00
60,1,0,1,1,0,2018-08-05 10:30:00
61,0,0,0,0,0,2018-08-05 10:30:00
62,0,0,0,0,0,2018-08-05 10:30:00
63,0,0,0,0,0,2018-08-05 10:30:00
64,0,0,0,0,0,2018-08-05 10:30:00
65,0,0,0,0,0,2018-08-05 10:30:00
66,0,0,0,0,0,2018-08-05 10:30:00
67,0,0,0,0,0,2018-08-05 10:30:00
68,1,0,1,0,1,2018-08-05 10:30:00
69,1,0,1,1,0,2018-08-05 10:30:00
70,0,0,0,0,0,2018-08-05 10:30:00
71,0,0,0,0,0,2018-08-05 10:30:00
72,1,0,1,1,0,2018-08-05 10:30:00
73,1,0,1,1,0,2018-08-05 10:30:00
74,0,0,0,0,0,2018-08-05 10:30:00
75,1,0,1,1,0,2018-08-05 10:30:00
76,0,0,0,0,0,2018-08-05 10:30:00
77,1,0,1,1,0,2018-08-05 10:30:00
78,0,0,0,0,0,2018-08-05 10:30:00
79,1,0,1,1,0,2018-08-05 10:30:00
80,1,0,1,1,0,2018-08-05 10:30:00
81,1,0,1,1,0,2018-08-05 10:30:00
82,1,0,1,1,0,2018-08-05 10:30:00
83,1,0,1,0,1,2018-08-05 10:30:00
84,0,0,0,0,0,2018-08-05 10:30:00
85,0,0,0,0,0,2018-08-05 10:30:00
86,0,0,0,0,0,2018-08-05 10:30:00
87,0,0,0,0,0,2018-08-05 10:30:00
88,0,0,0,0,0,2018-08-05 10:30:00
89,1,1,0,0,0,2018-08-05 10:30:00
90,0,0,0,0,0,2018-08-05 10:30:00
91,0,0,0,0,0,2018-08-05 10:30:00
92,0,0,0,0,0,2018-08-05 10:30:00
93,1,0,1,0,1,2018-08-05 10:30:00
94,0,0,0,0,0,2018-08-05 10:30:00
95,0,0,0,0,0,2018-08-05 10:30:00
96,0,0,0,0,0,2018-08-05 10:30:00
97,0,0,0,0,0,2018-08-05 10:30:00
98,1,0,1,0,1,2018-08-05 10:30:00
99,1,0,1,1,0,2018-08-05 10:30:00
100,0,0,0,0,0,2018-08-05 10:30:00
101,0,0,0,0,0,2018-08-05 10:30:00
102,1,0,1,1,0,2018-08-05 10:30:00
103,1,0,1,0,1,2018-08-05 10:30:00
104,1,0,1,1,0,2018-08-05 10:30:00
105,1,0,1,0,1,2018-08-05 10:30:00
106,0,0,0,0,0,2018-08-05 10:30:00
107,0,0,0,0,0,2018-08-05 10:30:00
108,1,0,1,0,1,2018-08-05 10:30:00
109,0,0,0,0,0,2018-08-05 10:30:00
110,0,0,0,0,0,2018-08-05 10:30:00
111,1,0,1,1,0,2018-08-05 10:30:00
112,0,0,0,0,0,2018-08-05 10:30:00
113,1,0,1,1,0,2018-08-05 10:30:00
114,0,0,0,0,0,2018-08-05 10:30:00
1,0,0,0,0,0,2018-08-05 11:50:00
2,0,0,0,0,0,2018-08-05 11:50:00
3,1,0,1,0,1,2018-08-05 11:50:00
4,0,0,0,0,0,2018-08-05 11:50:00
5,0,0,0,0,0,2018-08-05 11:50:00
6,1,0,1,0,1,2018-08-05 11:50:00
7,0,0,0,0,0,2018-08-05 11:50:00
8,0,0,0,0,0,2018-08-05 11:50:00
9,0,0,0,0,0,2018-08-05 11:50:00
10,1,0,1,0,1,2018-08-05 11:50:00
11,1,0,1,1,0,2018-08-05 11:50:00
12,1,0,1,1,0,2018-08-05 11:50:00
13,1,0,1,0,1,2018-08-05 11:50:00
14,0,0,0,0,0,2018-08-05 11:50:00
15,0,0,0,0,0,2018-08-05 11:50:00
16,1,0,1,1,0,2018-08-05 11:50:00
17,0,0,0,0,0,2018-08-05 11:50:00
18,0,0,0,0,0,2018-08-05 11:50:00
19,1,0,1,0,1,2018-08-05 11:50:00
20,0,0,0,0,0,2018-08-05 11:50:00
21,1,0,1,0,1,2018-08-05 11:50:00
22,1,0,1,0,1,2018-08-05 11:50:00
23,0,0,0,0,0,2018-08-05 11:50:00
24,0,0,0,0,0,2018-08-05 11:50:00
25,1,0,1,0,1,2018-08-05 11:50:00
26,0,0,0,0,0,2018-08-05 11:50:00
27,1,0,1,1,0,2018-08-05 11:50:00
28,0,0,0,0,0,2018-08-05 11:50:00
29,1,0,1,1,0,2018-08-05 11:50:00
30,0,0,0,0,0,2018-08-05 11:50:00
31,1,1,0,0,0,2018-08-05 11:50:00
32,0,0,0,0,0,2018-08-05 11:50:00
33,0,0,0,0,0,2018-08-05 11:50:00
34,0,0,0,0,0,2018-08-05 11:50:00
35,1,1,0,0,0,2018-08-05 11:50:00
36,0,0,0,0,0,2018-08-05 11:50:00
37,0,0,0,0,0,2018-08-05 11:50:00
38,0,0,0,0,0,2018-08-05 11:50:00
39,0,0,0,0,0,2018-08-05 11:50:00
40,1,0,1,1,0,2018-08-05 11:50:00
41,1,0,1,1,0,2018-08-05 11:50:00
42,0,0,0,0,0,2018-08-05 11:50:00
43,0,0,0,0,0,2018-08-05 11:50:00
44,1,0,1,1,0,2018-08-05 11:50:00
45,1,0,1,1,0,2018-08-05 11:50:00
46,1,0,1,1,0,2018-08-05 11:50:00
47,1,0,1,1,0,2018-08-05 11:50:00
48,0,0,0,0,0,2018-08-05 11:50:00
49,0,0,0,0,0,2018-08-05 11:50:00
50,0,0,0,0,0,2018-08-05 11:50:00
51,1,0,1,0,1,2018-08-05 11:50:00
52,1,0,1,0,1,2018-08-05 11:50:00
53,1,0,1,1,0,2018-08-05 11:50:00
54,0,0,0,0,0,2018-08-05 11:50:00
55,0,0,0,0,0,2018-08-05 11:50:00
56,0,0,0,0,0,2018-08-05 11:50:00
57,1,0,1,0,1,2018-08-05 11:50:00
58,0,0,0,0,0,2018-08-05 11:50:00
59,0,0,0,0,0,2018-08-05 11:50:00
60,0,0,0,0,0,2018-08-05 11:50:00
61,1,0,1,1,0,2018-08-05 11:50:00
62,0,0,0,0,0,2018-08-05 11:50:00
63,1,0,1,1,0,2018-08-05 11:50:00
64,0,0,0,0,0,2018-08-05 11:50:00
65,1,0,1,1,0,2018-08-05 11:50:00
66,0,0,0,0,0,2018-08-05 11:50:00
67,0,0,0,0,0,2018-08-05 11:50:00
68,0,0,0,0,0,2018-08-05 11:50:00
69,0,0,0,0,0,2018-08-05 11:50:00
70,1,0,1,1,0,2018-08-05 11:50:00
71,0,0,0,0,0,2018-08-05 11:50:00
72,1,0,1,1,0,2018-08-05 11:50:00
73,1,0,1,1,0,2018-08-05 11:50:00
74,1,0,1,1,0,2018-08-05 11:50:00
75,1,0,1,1,0,2018-08-05 11:50:00
76,0,0,0,0,0,2018-08-05 11:50:00
77,1,0,1,1,0,2018-08-05 11:50:00
78,1,0,1,1,0,2018-08-05 11:50:00
79,0,0,0,0,0,2018-08-05 11:50:00
80,0,0,0,0,0,2018-08-05 11:50:00
81,0,0,0,0,0,2018-08-05 11:50:00
82,0,0,0,0,0,2018-08-05 11:50:00
83,0,0,0,0,0,2018-08-05 11:50:00
84,0,0,0,0,0,2018-08-05 11:50:00
85,0,0,0,0,0,2018-08-05 11:50:00
86,0,0,0,0,0,2018-08-05 11:50:00
87,0,0,0,0,0,2018-08-05 11:50:00
88,0,0,0,0,0,2018-08-05 11:50:00
89,0,0,0,0,0,2018-08-05 11:50:00
90,1,0,1,0,1,2018-08-05 11:50:00
91,0,0,0,0,0,2018-08-05 11:50:00
92,0,0,0,0,0,2018-08-05 11:50:00
93,1,0,1,0,1,2018-08-05 11:50:00
94,0,0,0,0,0,2018-08-05 11:50:00
95,0,0,0,0,0,2018-08-05 11:50:00
96,1,0,1,0,1,2018-08-05 11:50:00
97,1,0,1,1,0,2018-08-05 11:50:00
98,1,0,1,0,1,2018-08-05 11:50:00
99,1,0,1,1,0,2018-08-05 11:50:00
100,0,0,0,0,0,2018-08-05 11:50:00
101,0,0,0,0,0,2018-08-05 11:50:00
102,1,0,1,1,0,2018-08-05 11:50:00
103,1,0,1,0,1,2018-08-05 11:50:00
104,0,0,0,0,0,2018-08-05 11:50:00
105,1,0,1,1,0,2018-08-05 11:50:00
106,1,0,1,1,0,2018-08-05 11:50:00
107,1,0,1,1,0,2018-08-05 11:50:00
108,1,0,1,0,1,2018-08-05 11:50:00
109,1,0,1,1,0,2018-08-05 11:50:00
110,1,0,1,0,1,2018-08-05 11:50:00
111,0,0,0,0,0,2018-08-05 11:50:00
112,0,0,0,0,0,2018-08-05 11:50:00
113,0,0,0,0,0,2018-08-05 11:50:00
114,1,0,1,1,0,2018-08-05 11:50:00
1,0,0,0,0,0,2018-08-06 09:00:00
2,0,0,0,0,0,2018-08-06 09:00:00
3,0,0,0,0,0,2018-08-06 09:00:00
4,0,0,0,0,0,2018-08-06 09:00:00
5,1,0,1,1,0,2018-08-06 09:00:00
6,0,0,0,0,0,2018-08-06 09:00:00
7,1,1,0,0,0,2018-08-06 09:00:00
8,0,0,0,0,0,2018-08-06 09:00:00
9,0,0,0,0,0,2018-08-06 09:00:00
10,1,1,0,0,0,2018-08-06 09:00:00
11,1,1,0,0,0,2018-08-06 09:00:00
12,1,1,0,0,0,2018-08-06 09:00:00
13,1,1,0,0,0,2018-08-06 09:00:00
14,0,0,0,0,0,2018-08-06 09:00:00
15,1,1,0,0,0,2018-08-06 09:00:00
16,1,1,0,0,0,2018-08-06 09:00:00
17,0,0,0,0,0,2018-08-06 09:00:00
18,1,1,0,0,0,2018-08-06 09:00:00
19,0,0,0,0,0,2018-08-06 09:00:00
20,1,1,0,0,0,2018-08-06 09:00:00
21,1,0,1,1,0,2018-08-06 09:00:00
22,0,0,0,0,0,2018-08-06 09:00:00
23,1,0,1,1,0,2018-08-06 09:00:00
24,1,0,1,1,0,2018-08-06 09:00:00
25,1,0,1,1,0,2018-08-06 09:00:00
26,1,0,1,1,0,2018-08-06 09:00:00
27,0,0,0,0,0,2018-08-06 09:00:00
28,0,0,0,0,0,2018-08-06 09:00:00
29,0,0,0,0,0,2018-08-06 09:00:00
30,1,1,0,0,0,2018-08-06 09:00:00
31,0,0,0,0,0,2018-08-06 09:00:00
32,0,0,0,0,0,2018-08-06 09:00:00
33,0,0,0,0,0,2018-08-06 09:00:00
34,0,0,0,0,0,2018-08-06 09:00:00
35,0,0,0,0,0,2018-08-06 09:00:00
36,0,0,0,0,0,2018-08-06 09:00:00
37,0,0,0,0,0,2018-08-06 09:00:00
38,0,0,0,0,0,2018-08-06 09:00:00
39,0,0,0,0,0,2018-08-06 09:00:00
40,1,1,0,0,0,2018-08-06 09:00:00
41,0,0,0,0,0,2018-08-06 09:00:00
42,1,0,1,1,0,2018-08-06 09:00:00
43,1,1,0,0,0,2018-08-06 09:00:00
44,1,1,0,0,0,2018-08-06 09:00:00
45,1,1,0,0,0,2018-08-06 09:00:00
46,0,0,0,0,0,2018-08-06 09:00:00
47,0,0,0,0,0,2018-08-06 09:00:00
48,1,1,0,0,0,2018-08-06 09:00:00
49,0,0,0,0,0,2018-08-06 09:00:00
50,0,0,0,0,0,2018-08-06 09:00:00
51,1,0,1,1,0,2018-08-06 09:00:00
52,0,0,0,0,0,2018-08-06 09:00:00
53,1,1,0,0,0,2018-08-06 09:00:00
54,0,0,0,0,0,2018-08-06 09:00:00
55,0,0,0,0,0,2018-08-06 09:00:00
56,1,1,0,0,0,2018-08-06 09:00:00
57,0,0,0,0,0,2018-08-06 09:00:00
58,1,0,1,0,1,2018-08-06 09:00:00
59,0,0,0,0,0,2018-08-06 09:00:00
60,1,0,1,1,0,2018-08-06 09:00:00
61,0,0,0,0,0,2018-08-06 09:00:00
62,1,0,1,1,0,2018-08-06 09:00:00
63,1,0,1,1,0,2018-08-06 09:00:00
64,1,0,1,1,0,2018-08-06 09:00:00
65,0,0,0,0,0,2018-08-06 09:00:00
66,0,0,0,0,0,2018-08-06 09:00:00
67,0,0,0,0,0,2018-08-06 09:00:00
68,0,0,0,0,0,2018-08-06 09:00:00
69,1,0,1,1,0,2018-08-06 09:00:00
70,0,0,0,0,0,2018-08-06 09:00:00
71,0,0,0,0,0,2018-08-06 09:00:00
72,0,0,0,0,0,2018-08-06 09:00:00
73,0,0,0,0,0,2018-08-06 09:00:00
74,1,0,1,1,0,2018-08-06 09:00:00
75,0,0,0,0,0,2018-08-06 09:00:00
76,1,0,1,1,0,2018-08-06 09:00:00
77,0,0,0,0,0,2018-08-06 09:00:00
78,0,0,0,0,0,2018-08-06 09:00:00
79,1,0,1,1,0,2018-08-06 09:00:00
80,1,0,1,1,0,2018-08-06 09:00:00
81,1,0,1,1,0,2018-08-06 09:00:00
82,1,0,1,1,0,2018-08-06 09:00:00
83,0,0,0,0,0,2018-08-06 09:00:00
84,0,0,0,0,0,2018-08-06 09:00:00
85,0,0,0,0,0,2018-08-06 09:00:00
86,1,0,1,1,0,2018-08-06 09:00:00
87,0,0,0,0,0,2018-08-06 09:00:00
88,0,0,0,0,0,2018-08-06 09:00:00
89,1,0,1,1,0,2018-08-06 09:00:00
90,0,0,0,0,0,2018-08-06 09:00:00
91,1,0,1,1,0,2018-08-06 09:00:00
92,0,0,0,0,0,2018-08-06 09:00:00
93,0,0,0,0,0,2018-08-06 09:00:00
94,0,0,0,0,0,2018-08-06 09:00:00
95,0,0,0,0,0,2018-08-06 09:00:00
96,0,0,0,0,0,2018-08-06 09:00:00
97,0,0,0,0,0,2018-08-06 09:00:00
98,1,1,0,0,0,2018-08-06 09:00:00
99,0,0,0,0,0,2018-08-06 09:00:00
100,1,0,1,1,0,2018-08-06 09:00:00
